Date|Reading
05-30|Genesis 19-21; 25:12-18; 1 Chronicles 1:28-31
05-31|Genesis 22-24
06-01|Genesis 25:1-4; 1 Chronicles 1:32-34; Genesis 25:5-11; 25:19-26:35
06-02|Genesis 27:1-28:9; 36; 1 Chronicles 1:35-54
06-03|Genesis 28:10-30:43
06-04|Genesis 31, 32
06-05|Genesis 33-35; 1 Chronicles 2:1, 2
06-06|Genesis 37-39
06-07|Genesis 40, 41
06-08|Genesis 42-44
06-09|Genesis 45:1-46:9; 1 Chronicles 5:1-6; Genesis 46:10-12; 1 Chronicles 2:18-55
06-10|1 Chronicles 4:1-23; Genesis 46:13; 1 Chronicles 7:1-5; Genesis 46:14-18; 1 Chronicles 7:30-40; Genesis 46:19-25; 1 Chronicles 7:6-12; Genesis 46:26-47:12
06-11|Genesis 47:13-50:26
06-12|Job 1-3
06-13|Job 4-7
06-14|Job 8-10
06-15|Job 11-14
06-16|Job 15-18
06-17|Job 19-21
06-18|Job 22-26
06-19|Job 27-29
06-20|Job 30, 31
06-21|Job 32-34
06-22|Job 35-37
06-23|Job 38, 39
06-24|Job 40-42
06-25|Exodus 1:1-4:17
06-26|Exodus 4:18-6:27; 1 Chronicles 6:1-4; Exodus 6:28-7:13
06-27|Exodus 7:14-9:35
06-28|Exodus 10-12
06-29|Exodus 13-15
06-30|Exodus 16-18
07-01|Exodus 19-21
07-02|Exodus 22-24
07-03|Exodus 25-27
07-04|Exodus 28, 29
07-05|Exodus 30:1-33:6
07-06|Exodus 33:7-36:7
07-07|Exodus 36:8-38:31
07-08|Exodus 39, 40
07-09|Leviticus 1-4
07-10|Leviticus 5-7
07-11|Leviticus 8-10
07-12|Leviticus 11:1-13:46
07-13|Leviticus 13:47-15:33
07-14|Leviticus 16-18
07-15|Leviticus 19-21
07-16|Leviticus 22, 23
07-17|Leviticus 24, 25
07-18|Leviticus 26, 27
07-19|Numbers 1, 2
07-20|Numbers 3:1-4:33
07-21|Numbers 4:34-6:27
07-22|Numbers 7
07-23|Numbers 8-10
07-24|Numbers 11-13
07-25|Numbers 14, 15
07-26|Numbers 16-18
07-27|Numbers 19-21
07-28|Numbers 22-24
07-29|Numbers 25:1-26:34; 1 Chronicles 7:13-19; Numbers 26:35-37; 1 Chronicles 7:20-29; Numbers 26:38-65
07-30|Numbers 27-29
07-31|Numbers 30, 31
08-01|Numbers 32, 33
08-02|Numbers 34-36
08-03|Deuteronomy 1:1-3:11
08-04|Deuteronomy 3:12-5:33
08-05|Deuteronomy 6-8
08-06|Deuteronomy 9-11
08-07|Deuteronomy 12-14
08-08|Deuteronomy 15-18
08-09|Deuteronomy 19-22
08-10|Deuteronomy 23-26
08-11|Deuteronomy 27, 28
08-12|Deuteronomy 29:1-31:29
08-13|Deuteronomy 31:30-32:52; Psalms 90
08-14|Deuteronomy 33, 34; Joshua 1, 2
08-15|Joshua 3-6
08-16|Joshua 7-9
08-17|Joshua 10-12
08-18|Joshua 13-15
08-19|Joshua 16:1-19:9; 1 Chronicles 4:24-33; Joshua 19:10-31
08-20|Joshua 19:32-21:45; 1 Chronicles 6:54-81
08-21|Joshua 22-24
08-22|Judges 1:1-3:6; 17
08-23|Judges 18; 3:7-4:24
08-24|Judges 5-7
08-25|Judges 8, 9
08-26|Judges 10-13
08-27|Judges 14-16
08-28|Judges 19-21
08-29|Ruth 1-4
08-30|1 Samuel 1-3
08-31|1 Samuel 4-7
09-01|1 Samuel 8-10
09-02|1 Samuel 11-13
09-03|1 Samuel 14, 15
09-04|1 Samuel 16; Psalms 8; 9; 11; 19; 144
09-05|1 Samuel 17, 18; Psalms 23; 58
09-06|1 Samuel 19, 20; Psalms 59; 133
09-07|1 Samuel 21; Psalms 34; 56; 1 Samuel 22:1-5; Psalms 57; 142; 1 Chronicles 12:8-18
09-08|1 Samuel 22:6-23; Psalms 52; 1 Samuel 23; Psalms 54; 63
09-09|Psalms 13; 22; 1 Samuel 24
09-10|Psalms 7; 17; 35
09-11|1 Samuel 25; Psalms 14; 53
09-12|2 Samuel 22; Psalms 18; 1 Samuel 26
09-13|1 Samuel 27; Psalms 31; 1 Chronicles 12:1-7; 1 Samuel 28:1-3; 29; 30
09-14|Psalms 69; 86; 131; 1 Samuel 28:3-25
09-15|1 Samuel 30, 31; 1 Chronicles 10; 2 Samuel 4:4; 1
09-16|2 Samuel 2:1-3:5; 1 Chronicles 3:1-4; 2 Samuel 3:6-4:3; 4:5-5:5; 1 Chronicles 11:1-3
09-17|1 Chronicles 12:23-40; Psalms 2; 78
09-18|2 Samuel 5:6-10; 1 Chronicles 11:4-9; 2 Samuel 5:17-21; 1 Chronicles 14:8-12; 2 Samuel 23:13-19; 1 Chronicles 11:15-21; 2 Samuel 5:22-25; 1 Chronicles 14:13-17; 2 Samuel 5:11, 12; 1 Chronicles 14:1, 2
